Player,Team,Gms,Rec,Yds,Avg,YPG,Lg,TD,FD,Tar
Danny Woodhead,NYJ,10,8,87,10.88,8.7,24,0,4,14
Larry Johnson,KC,14,15,80,5.33,5.7,22,0,4,21
Mike Cox,KC,16,10,79,7.9,4.9,19,0,3,13
Ahmard Hall,Ten,16,12,79,6.58,4.9,15,0,3,16
Tony Stewart,Oak,15,10,78,7.8,5.2,19,0,4,15
Kevin Curtis,Phi,3,6,77,12.83,25.7,19,0,5,15
Glen Coffee,SF,14,11,76,6.91,5.4,12,0,2,18
Chris Brown,Hou,14,16,74,4.62,5.3,12,0,1,21
Jared Cook,Ten,14,9,74,8.22,5.3,17,0,5,15
Jim Kleinsasser,Min,16,10,70,7,4.4,21,0,3,16
Terrance Copper,KC,15,4,68,17,4.5,50,0,2,6
Joey Galloway,NE,3,7,67,9.57,22.3,19,0,3,20
Bernard Scott,Cin,13,5,67,13.4,5.2,23,0,2,8
Michael Bennett,SD,6,6,65,10.83,10.8,33,0,2,7
Brian Clark,TB,14,6,65,10.83,4.6,17,0,3,18
James Casey,Hou,15,6,64,10.67,4.3,32,0,4,12
Derek Fine,Buf,8,9,64,7.11,8,11,0,1,18
Brad Smith,NYJ,13,7,63,9,4.8,19,0,3,12
John Phillips,Dal,16,7,62,8.86,3.9,23,0,2,9
Gijon Robinson,Ind,13,9,62,6.89,4.8,19,0,3,15
Tyrell Sutton,Car,7,6,62,10.33,8.9,13,0,4,11
Bobby Engram,KC,5,5,61,12.2,12.2,18,0,4,10
Andre' Davis,Hou,14,6,59,9.83,4.2,21,0,3,11
Kenneth Moore,Car,12,6,59,9.83,4.9,22,0,1,12
Thomas Jones,NYJ,16,10,58,5.8,3.6,28,0,4,18
Marcus Mason,Was,10,6,58,9.67,5.8,17,0,1,7
Chris Jennings,Cle,9,9,56,6.22,6.2,19,0,3,13
Travis Beckum,NYG,15,8,55,6.88,3.7,15,0,4,10
Quan Cosby,Cin,16,4,55,13.75,3.4,23,0,2,6
Corey McIntyre,Buf,15,7,55,7.86,3.7,18,0,3,8
Mike Hart,Ind,9,5,54,10.8,6,14,0,3,8
Craig Davis,SD,1,6,52,8.67,52,11,0,4,7
Derrick Williams,Det,11,6,52,8.67,4.7,19,0,2,13
Lousaka Polite,Mia,16,11,51,4.64,3.2,10,0,3,23
Dantrell Savage,KC,5,7,51,7.29,10.2,12,0,2,11
Lynell Hamilton,NO,9,5,48,9.6,5.3,16,0,4,7
Greg Estandia,Jax,6,4,45,11.25,7.5,18,0,3,13
Korey Hall,GB,11,5,41,8.2,3.7,13,0,2,7
Jeremi Johnson,Cin,16,6,41,6.83,2.6,9,0,1,12
Ben Obomanu,Sea,14,4,41,10.25,2.9,12,0,4,5
Arnaz Battle,SF,15,5,40,8,2.7,12,0,3,5
Jonathan Stupar,Buf,14,6,40,6.67,2.9,17,0,3,11
Stephen Spach,Ari,7,4,38,9.5,5.4,22,0,1,10
Rashied Davis,Chi,16,5,35,7,2.2,10,0,2,8
Jacob Tamme,Ind,16,3,35,11.67,2.2,21,0,2,10
Michael Turner,Atl,11,5,35,7,3.2,10,0,2,7
Hank Baskett,Phi,12,5,34,6.8,2.8,9,0,1,12
Roscoe Parrish,Buf,12,3,34,11.33,2.8,16,0,0,4
Aaron Stecker,Atl,9,5,34,6.8,3.8,14,0,1,5
Troy Williamson,Jax,2,3,34,11.33,17,13,0,1,4
Louis Rankin,Sea,7,5,33,6.6,4.7,14,0,1,7
Darcy Johnson,NYG,13,5,32,6.4,2.5,14,0,2,7
Marko Mitchell,Was,10,4,32,8,3.2,11,0,2,7
Luke Lawton,Oak,13,7,31,4.43,2.4,14,0,2,10
Moran Norris,SF,16,7,31,4.43,1.9,11,0,1,11
